990930H  103542  47.26   11.35 262.1  48.5   0.0   2.1   -.1   -.4  934.8   32.0 270.4   2.1   -.0  27.0  11.1  36.8 
990930H  103543  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.8   32.0 270.4   1.4   -.0  27.0  11.1  36.8 
990930H  103544  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 269.5   1.4    .0  27.0  11.2  36.8 
990930H  103545  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 270.4   1.4   -.1  27.0  11.2  36.8 
990930H  103546  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 269.8   1.4   -.1  27.0  11.2  36.8 
990930H  103547  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 271.2   1.4   -.1  27.1  11.1  36.7 
990930H  103548  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 271.8   1.4   -.0  27.1  11.1  36.7 
990930H  103549  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 271.5   1.4   -.0  27.1  11.1  36.6 
990930H  103550  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 270.8   1.4   -.0  27.1  11.1  36.6 
990930H  103551  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 271.8   1.4   -.0  27.1  11.1  36.6 
990930H  103552  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 271.8   1.4   -.1  27.1  11.1  36.6 
990930H  103553  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.8   32.0 271.5   1.4    .0  27.1  11.1  36.5 
990930H  103554  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.8   32.0 271.5   1.4    .0  27.1  11.1  36.5 
990930H  103555  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.8   32.0 271.8   1.4   -.0  27.1  11.1  36.4 
990930H  103556  47.26   11.35 262.1  48.5   0.0   1.9   -.1   -.4  934.8   32.0 271.3   1.9    .0  27.1  11.1  36.4 
990930H  103557  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.8   32.0 271.0   1.4    .0  27.1  11.1  36.4 
990930H  103558  47.26   11.35 262.1  48.5   0.0   1.4   -.1   -.4  934.9   32.0 270.8   1.4    .0  27.1  11.1  36.4 
